City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Salaga,GH,86.76,light rain,8.55,-0.52,Maridon Lodge
Matay,EG,77.31,clear sky,28.42,30.78,Nag Aespen
San Andres,CO,86.0,broken clouds,12.58,-81.7,Hotel Arena Blanca
Kismayo,SO,79.43,few clouds,-0.36,42.55,Agan-Hotel
Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
Hirara,JP,78.06,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
Amos,CA,86.0,broken clouds,48.57,-78.12,"Amosphère, complexe hôtelier"
Rock Sound,BS,79.02,clear sky,24.9,-76.2,Rock Sound Club
Saint George,US,89.6,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
Radhanpur,IN,85.05,clear sky,23.83,71.6,YASH HOTEL
Palembang,ID,76.01,scattered clouds,-2.92,104.75,Aston Palembang Hotel & Conference Center
Komsomolskiy,UZ,77.0,thunderstorm with light rain,40.43,71.72,"Hotel ""Ikathouse"""
Anito,PH,79.75,broken clouds,12.45,125.29,The Yellow House
Kendari,ID,75.97,light rain,-3.94,122.5,Hotel Wixel
Porto Seguro,BR,77.0,scattered clouds,-16.45,-39.06,Porto Cálem Praia Hotel
Herbertpur,IN,77.9,overcast clouds,30.45,77.73,Hotel Shaurya
Sabana De Torres,CO,82.4,light rain,7.39,-73.5,Hotel el Milagro
Katobu,ID,75.69,broken clouds,-4.94,122.53,La Ode Gombe
Vila Praia De Ancora,PT,79.0,few clouds,41.81,-8.85,Hotel Meira
Tamandare,BR,82.36,clear sky,-8.76,-35.1,Pousada 100 Passos
Luwuk,ID,78.51,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
Acarau,BR,82.72,light rain,-2.89,-40.12,castelo pizzaria
La Asuncion,VE,75.2,overcast clouds,11.03,-63.86,Colinas de Matasiete
Saint Anthony,US,78.01,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
Islamkot,PK,83.3,clear sky,24.7,70.18,Ghazi Guest House
Bull Savanna,JM,82.35,light rain,17.89,-77.59,Big Red's
Axim,GH,80.87,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
Faanui,PF,81.68,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Aswan,EG,86.41,clear sky,24.09,32.91,Nuba Nile
Malpe,IN,84.2,few clouds,13.35,74.72,Hotel Sri Krishna Residency
Roma,US,80.6,overcast clouds,43.21,-75.46,Wingate By Wyndham Rome
Salalah,OM,78.8,light rain,17.02,54.09,HAMDAN PLAZA HOTEL
Mersing,MY,78.8,scattered clouds,2.43,103.84,Timotel Hotel
Impfondo,CG,79.3,overcast clouds,1.64,18.07,Préfecture de la Likouala
Raga,SS,79.65,overcast clouds,8.46,25.68,
Wajid,SO,78.82,broken clouds,3.81,43.25,Hotel Haji Aden Yare
Redmond,US,75.99,overcast clouds,47.67,-122.12,Seattle Marriott Redmond
Bambanglipuro,ID,76.46,overcast clouds,-7.95,110.28,Puri Brata
Port Hawkesbury,CA,86.0,clear sky,45.62,-61.35,MacKenzie House Tourist Home B&B
Ahuimanu,US,84.2,broken clouds,21.44,-157.84,Paradise Bay Resort
Nishihara,JP,75.2,broken clouds,26.18,127.76,Minshuku Agaihama
Fallon,US,90.0,clear sky,39.47,-118.78,Best Western Fallon Inn & Suites
Santa Fe,AR,75.0,clear sky,-31.63,-60.7,Conquistador Hotel
Bereda,ES,81.0,clear sky,43.27,-7.54,Pazo de Verdes
Dibulla,CO,83.97,moderate rain,11.27,-73.31,Hospedaje Dibulla Beach
San Matias,BO,84.78,clear sky,-16.37,-58.4,"HOTEL ""SAN JOSE"""
Filadelfia,US,80.01,overcast clouds,39.95,-75.16,Loews Philadelphia Hotel
Salinopolis,BR,84.7,clear sky,-0.61,-47.36,Hotel Salinópolis
Liverpool,GB,75.2,broken clouds,53.41,-2.98,"Radisson Blu Hotel, Liverpool"
Padang,ID,79.75,overcast clouds,-0.95,100.35,Mercure Padang
Gresham,US,81.0,clear sky,45.5,-122.43,McMenamins Edgefield
Calabozo,VE,80.69,overcast clouds,8.92,-67.43,Hotel Giardini
Phuket,TH,82.4,few clouds,8.0,98.25,The Surin Phuket
Balabac,PH,84.2,overcast clouds,7.99,117.06,Sing and Swing Lodge
Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
Anloga,GH,75.2,thunderstorm,5.79,0.9,Dey Lodge
Moa,CU,85.15,overcast clouds,20.66,-74.94,Renta en Divisa
Kabo,CF,81.9,broken clouds,7.7,18.63,
San Patricio,MX,80.6,clear sky,19.22,-104.7,Hotel Cabo Blanco
Sorong,ID,81.23,light rain,-0.88,131.25,The Waigo Hotel
Keta,GH,75.2,thunderstorm,5.92,0.99,A&Y Wild Camp Ghana
Waingapu,ID,77.85,overcast clouds,-9.66,120.26,Pondok Wisata Elim
Daru,PG,78.26,light rain,-9.08,143.21,New century hotel
Murgab,TM,86.0,clear sky,37.5,61.97,
Kroya,ID,77.16,overcast clouds,-7.63,109.25,RUSTANTO Fam
Elko,US,82.4,clear sky,41.0,-115.5,
Oussouye,SN,89.6,clear sky,12.48,-16.55,Auberge du Routard
Bonthe,SL,80.89,light rain,7.53,-12.51,Bonthe Holiday Village
Jalingo,NG,83.77,light rain,8.88,11.37,Debright Motel
Sawakin,SD,87.24,clear sky,19.11,37.33,فندق الدويم
Mangrol,IN,84.15,scattered clouds,21.12,70.12,Hotel The Royal Honours
Port Moresby,PG,75.87,overcast clouds,-9.44,147.18,Lamana Hotel
Dingle,PH,79.38,overcast clouds,11.0,122.67,Camp Pasica
Le Vauclin,MQ,89.6,broken clouds,14.55,-60.84,Hôtel Cap Macabou
Gorontalo,ID,76.05,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
Bahia Honda,CU,87.31,scattered clouds,22.9,-83.16,Casa Gualberto - Deysi
Vertientes,CU,87.8,overcast clouds,21.26,-78.15,
Barcelos,PT,87.01,few clouds,41.54,-8.62,Hotel Do Terço
Nouadhibou,MR,75.2,sand,20.93,-17.03,El Medina
Buala,SB,80.69,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
Winneba,GH,75.2,thunderstorm with light rain,5.35,-0.62,Windy Lodge Beach Resort
Natal,BR,86.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
Puerto Quijarro,BO,84.61,clear sky,-17.78,-57.77,Hotel palance
Vavoua,CI,80.73,overcast clouds,7.38,-6.48,Hotel La Sougoun
Ariquemes,BR,83.91,overcast clouds,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
Kidal,ML,86.77,broken clouds,18.44,1.41,
Big Spring,US,84.2,clear sky,32.25,-101.48,Hampton Inn & Suites Big Spring
Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
Maumere,ID,78.87,broken clouds,-8.62,122.21,Sylvia Hotel
Pasni,PK,85.01,clear sky,25.26,63.47,3G hotel pasni
Spencer,US,78.8,clear sky,43.14,-95.14,Days Inn by Wyndham Hotel Spencer IA
Barra Do Garcas,BR,79.12,clear sky,-15.89,-52.26,Hotel Pousada Tropical
Kavaratti,IN,85.86,light rain,10.57,72.64,Bismillah Hotel And Lodging
Bracebridge,CA,75.2,light rain,45.03,-79.32,BRACEBRIDGE INN
Gamba,GA,76.33,broken clouds,-2.65,10.0,
Taragual,HN,82.06,light rain,14.75,-88.48,Jacan la Iguala Lempira
Sakete,BJ,76.39,heavy intensity rain,6.74,2.66,
Kavieng,PG,81.84,light rain,-2.57,150.8,Nusa Island Retreat
Cam Ranh,VN,84.2,few clouds,11.92,109.16,OYO 598 Peony Hotel
Saint-Georges,GD,87.8,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
Palmas,BR,89.6,shower rain,-10.21,-48.36,Hotel Lago da Palma
